Accorsi  ,Opazo,Enrique Luis  ,Enrique Accorsi,44,,,,,,,,,,,,
Aguiló  ,Melo,Sergio Patricio ,Sergio Aguiló  ,44,,,,,,,,,,,,
Alinco  ,Bustos,René Osvaldo ,René Alinco,44,,,,Osvaldo René Alinco,Flor Bustos,,,,,,,
Alvarez-Salamanca,Ramírez,Pedro Pablo ,Pedro Alvarez-Salamanca,44,,,,Pedro Pablo Alvarez-Salamanca Büchi,Luz María Ramírez Sepúlveda ,,,,,,,
Andrade  ,Lara,Osvaldo Raúl ,Osvaldo Andrade,44,,,,Osvaldo Andrade,Carmen Lara,Patricio Andrade Olate; Carlos Andrade Olate; Andrés Andrade Olate; Jearim Yael Andrade Olate,,,,Rigoberto Araya Ochoa;Sara Ortiz Rojas,Carmen Andrade Lara,
Araya  ,Guerrero,Pedro  ,Pedro Araya,44,,,, Pedro Araya Ortiz,Juana Guerrero Yáñez,,,,,,Jaime Araya Guerrero; Carlos Araya Guerrero ,
Arenas  ,Hödar,Gonzalo Enrique ,Gonzalo Arenas,44,,,,Juan Arenas,Pamela Hödar,,,,,,,
Ascencio  ,Mansilla,Gabriel Héctor ,Gabriel Ascencio,44,,,,Gabriel Ascencio,Georgina Mansilla ,Antonia Ascencio Yurac;,,,,,,
Auth  ,Stewart,Pepe  ,Pepe Auth,44,,,,Raúl Auth Caviedes,Joan Stewart Visintainer,,,,,,,
Baltolu  ,Rasera,Nino  ,Nino Baltolu  ,44,,,, Ángel Baltolu Brandano,Flora Rasera Collet,Nino Francesco Baltolu Zenteno; Carla Valeria Baltolu Zenteno; Renata Fabiola Baltolu Zenteno;,,,,,,
Barros  ,Montero,José Ramón ,Ramón Barros,44,,,,,,José Ramón Barros Arteaga; Santiago Barros Arteaga; María Ignacia Barros Arteaga; María Isidora Barros Arteaga; Carmen Barros Arteaga; Francisca Barros Arteaga;,,,,,,
Bauer  ,Jouanne,Eugenio Francisco ,Eugenio Bauer,44,,,,,,Josefina Bauer Labra;  Francisca Bauer Labra;  Tomás Bauer Labray; José Eugenio Bauer Labra;,,,,,,
Becker  ,Alvear,Germán Antonio ,Germán Becker,44,,,,Germán Becker Bäechler,María Antonieta Alvear Campos ,,,,,,Miguel Becker Alvear;,
Bertolino  ,Rendic,Mario Vittorio Luca,Mario Bertolino,44,,,,,,Mario Bertolino Cooper; Felipe Bertolino Cooper; Florencia Bertolino Cooper;,,,,,,
Bobadilla  ,Muñoz,Sergio  ,Sergio Babadilla,44,,,,,,"Lucía Pilar Bobadilla Crovetto, María Francisca Bobadilla Crovetto, Sofía Bobadilla Crovetto y Sergio Bobadilla Crovetto. ",,,,,,
Browne  ,Urrejola,Pedro Pablo ,Pedro Browne,44,,,,Pedro Browne Covarrubias,Teresa Urrejola Monckeberg,Pedro Browne Bezanilla; José Browne Bezanilla; Ema Browne Bezanilla; Samuel Browne Bezanilla;,,,,,,
Burgos  ,Varela,Jorge Alfonso ,Jorge Burgos,44,,,,,,Vicente Burgos Salas; Domingo Burgos Salas; Raimundo Burgos Salas;,,,,,,
Calderón  ,Bassi,Giovanni Oscar  ,Giovanni Calderón,44,,,,Juan Francisco Calderón Quezada,,,,,,,,
Campos  ,Jara,Carlos  Cristian ,Carlos Campos,44,,,,Carlos Campos,Nancy Jara,Francisca; Carlos Cristian. ,,,,,,
