Isabel Allende,Salvador Allende,Hortensia Bussi,Gonzalo Meza Allende;Marcia Tambutti Allende,,Maya Fernández Allende; Alejandro Fernández Allende; Andrés Sepúlveda Allende; Pablo Sepúlveda Allende; Carmen Paz Sepúlveda Allende ;,Isabel Allende Llona; Denise Pascal Allende;,Salvador Allende Castro; Laura Gossens Uribe;
Soledad Alvear,Ernesto Alvear Retamal,María Teresa Valenzuela Herrera,Claudia Martínez Alvear; Carlos Martínez Alvear; Gutenberg Martínez Alvear;,,,,
Carlos Bianchi,Antonio Bianchi,,,,,Fernando Solabarrieta Chelech;,
Carlos Cantero,,,Pablo Cantero Barrios; Karla Cantero Barrios; Ignacio Cantero Barrios;,,,,
Juan Antonio Coloma,,,Juan Antonio Coloma Álamos;,,,,
Francisco Chahuán,Fuad Chahuán,Lidia Chahuán,Francisco Chahuán Ibáñez; Felipe Chahuán Ibáñez; Magdalena Chahuán Ibáñez; Fernando Chahuán Ibáñez;,Arturo Chahuán;,,,Sabas Chahuán;  Elba Issa
Camilo Escalona,,,Natalia Escalona Pardo;,,,,
Alberto Espina,Alberto Espina Barros ,María Eliana Otero Lathrop,María José Espina Donoso; Nicolás Espina Donoso; Francisca Espina Donoso;,,,,
Eduardo Frei,Eduardo Frei Montalva ,María Ruiz/Tagle Jiménez,Verónica Frei Larraechea; Cecilia Frei Larraechea; Magdalena Frei Larraechea;  Catalina Frei Larraechea;,,,,
José García Ruminot,,Ondina Ruminot Leiva,Loreto García Escobar; Consuelo García Escobar;,,,,
Alejandro García Hudiobro,,,,,,,
Guido Guirardi,Guido Girardi Brière,Rosa Eugenia Lavín Araya,Antonia Girardi Echeñique; Luciano Girardi Echeñique; Domenico Girardi Echeñique; Elisa Girardi Echeñique;,,,,
José Antonio Gómez,José Gómez López,Cecilia Urrutia Concha,Matías Gómez Passi; Joaquín Gómez Passi; Sebastián Gómez Passi; Francisca Gómez Passi;,,,,
Antonio Horvath,Antonio Horvath Goycolea,,"Antonio Horvath; Valentina Horvath; Karina Horvath, Tomás Horvath; Matías Horvath",,,,
Carlos Kuschel,Ignacio Kuschel Hitschfeld,María Rosa Silva Montt,Constanze Margarita Kuschel Rietzsch; Katherina Verónica María Kuschel Rietzsch; Valeska Natalia Delia Kuschel Rietzsch; Cristina Ignacia Bernardita Kuschel Rietzsch;,,,,
Ricardo Lagos Weber,Ricardo Lagos Escobar,Carmen Weber ,Ricardo Lagos Peña;,,,,
Hernán Larraín,Hernán Larraín,Eliana Fernández,Hernán Larraín Matte; Pablo Larraín Matte; Juan de Dios Larraín Matte; Magdalena Larraín Matte; María José Larraín Matte; Blanca Larraín Matte;,,,,
Carlos Larraín,Fernando Larraín Vial,María Peña,,,,,
Juan Pablo Letelier,Marcos Orlando Letelier del Sola,Isabel Margarita Morel Gumucio,,,,,
Pedro Muñoz,,,,,,,
Alejandro Navarro,Fernando Navarro,Lidia Brain,,,,,
Jovino Novoa,Jovino Novoa Rojas,Silvia Vasquez Vargas,,,,,
Jaime Orpis,,,Santiago Orpis Jouanne; Ana Luisa Orpis Jouanne; Teresita Orpis Jouanne; María José Orpis Jouanne,,,,
Lily Pérez,,,Paola Bauzá Pérez; Rodrigo Bauzá Pérez;,,,,
Víctor Pérez,,,,,,,
Jorge Pizarro,,,,,,,
Baldo Prokurica,,,Juan Andrés Prokurica de Las Heras; Francisco Prokurica de Las Heras;,,,,
Jaime Orpis,,,,,,,
Ximena Rincón,,,,,,,
Fulvio Rossi,Flavio Rossi Rossi,Ángela Ciocca Gómez,Franco Paolo Rossi Rodriguez;,,,,
Mariano Ruiz-Esquide,Mariano Ruiz/Esquide,Carmen Jara,,,,Rufo Ruiz-Esquide Espinoza;,
Hosaín Sabag,,,Patricio Hosain Sabag; Gloria Sabag; Jorge Sabag;,,Mario Sabag;,,
Eugenio Tuma,Juan Tuma Masso,María Zedán Bulos,,,,,
Gonzalo Uriarte,Luis Uriarte Larrañaga,Mónica Herrera Correa,,,,,
Ena Von Baer,Erick Von Baer,Helga Jahn,Clara Frohlich Von Baer; Ian Frohlich Von Baer;,Heinrich von Baer;,,,Agnes von Lochow; Erik von Baer;
Ignacio Walker,Ignacio Walker Concha,Isabel Margarita Prieto,,,,,Horacio Walker Larraín;
Patricio Walker,Ignacio Walker Concha,Isabel Margarita Prieto,,,,,Horacio Walker Larraín;
Andrés Zaldívar,Alberto Zaldívar Errázuriz,Josefina Larraín Tejeda,Paula Zaldivar Hurtado; Patricia Zaldivar Hurtado; Claudia Zaldivar Hurtado;  Francisca Zaldivar Hurtado;,,,,
