Isabel Allende,Senado de la República de Chile;Fundación Salvador Allende;
Soledad Alvear,Agrícola Los Sauces Ltda.;Servicio Nacional de la Mujer; Ministerio de Justicia; Ministerio de Relaciones Exteriores;Senado de la República de Chile;Academia Judicial; Centro de Justicia de las Américas; Fundación Guayasamín; Fundación  Instituto Chileno de Colonias Campamentos y Hogares de Menores; Organización de las Naciones Unidas;Fundación Paz Ciudadana;
Carlos Bianchi, Soc.Com.Dist.Bories Ltda; Soc.Com.De.Produc.La.Natta.Ltda.;Senado de la República de Chile;
Carlos Cantero,Inversiones Geonades y Cia. Ltda.; Inmobiliaria 8 de septiembre Ltda; Haras San Patricio Ltda.;Municipalidad de Sierra Gorda; Muncipalidad deTocopilla; Municipalidad de Calama;Senado de la República de Chile;Comunidad Virtual de Gobernabilidad;
Juan Antonio Coloma,Inversiones Golconda S.A.;Senado de la República de Chile;
Francisco Chahuán,Chahuan abogados asociados Ltda; Comercial e Industrial Noventa Chile LTDA; Sociedad Inmobiliaria e Inversiones Francarovaro Ltda;  Sociedad Constructora Inmobiliaria e Inversiones Santa Magadalena; Farmacias Unidas Ltda; Nueva Alianza Ltda;Senado de la República de Chile;Frente por la Vida y Acción Solidaria;
Camilo Escalona,Senado de la República de Chile;
Alberto Espina,Estudio de Abogados Espina Zepeda y Acosta; Espina y Cia. Ltda; Inversiones y rentas El Peral Ltda; Corporación Ficed;
 Senado de la República de Chile;Corporación de Derecho Privado Ficed;
Eduardo Frei,Inversiones Saturno S.A;Presidencia de la República de Chile;Senado de la República de Chile;Fundación Nacional del Deporte;Fundación Frei;
José García Ruminot,Senado de la República de Chile;
Alejandro García Hudiobro,Navarino S.A; Golf Los Liros; Club de Polo Las Mercedes S.A; Agrícola Santa Denise Ltda; Alejandro García Huidobro Sanfuentes; Inversiones e Inmobiliaria; Sta Denise Ltda; Agrícola Las Rosas; VIña Machali Ltda. ;Cámara de Diputados de Chile;Senado de la República de Chile;Golf Los Liros; Club de Polo Las Mercedes;
Guido Guirardi,Senado de la República de Chile;
