persona.id,persona.firstName,persona.firstLastName,persona.otherLastName,persona.alias,persona.birth,persona.countryofResidence,persona.Mainsector,persona.depiction,persona.shortBio,persona.longBio,persona.isDead,persona.web,persona.twitterNick,persona.facebookNick,persona.linkedinNick,persona.is_active,persona.created_on,persona.created_by,persona.modified_on,persona.modified_by
1,María Isabel,Allende,Bussi,Isabel Allende,1945-01-18,44,||,<NULL>,"Actual senadora del Partido Socialista (PS) por la Región de Atacama. Hija del ex presidente chileno Salvador Allende. Luego de la muerte de su padre en el golpe de Estado ocurrido en el año 1973,  estuvo exiliada junto a  su madre y hermanas,  primero en Cuba y luego en México, donde estuvo  dieciséis años  antes de volver a Chile en 1989, en el tramo final del Gobierno Militar.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
2,María Soledad,Alvear,Valenzuela,Soledad Alvear,1950-09-17,44,||,<NULL>,"Actual senadora por la Región Metropolitana de Santiago en representación del Partido Demócrata Cristiano. Fue la primera mujer en ocupar el cargo de canciller en la historia de Chile, durante el Gobierno de Ricardo Lagos. Además, fue precandidata de su partido para competir en las elecciones presidenciales del año 2005. Fue ministra directora del Sernam en el Gobierno del presidente Patricio Aylwin y ministra de Justicia en el Gobierno de Eduardo Frei Ruiz-Tagle.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
3,Carlos Antonio,Bianchi,Chelech,Carlos Bianchi,<NULL>,44,||,<NULL>,Actualmente es senador independiente por la circunscripción 19 de la Región de Magallanes y de la Antártica Chilena.,,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
4,Carlos Raúl,Cantero,Ojeda,Carlos Cantero,1956-11-11,44,||,<NULL>,Senador Región de Antofagasta (2010-2018),,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
5,Juan Antonio,Coloma,Correa,Juan Antonio Coloma,1956-07-15,44,||,<NULL>,"Actual senador de la Unión Demócrata Independiente (UDI) por la Circunscripción X, VII Región del Maule En el año 2008 fue elegido  presidente de su partido. Reelecto en 2010, decidió no optar a un tercer periodo y entregó el cargo a Patricio Melero el 30 de marzo de 2012.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
6,Francisco Javier,Chahuán,Chahuán,Francisco Chahuán,1971-05-20,44,||,<NULL>,"En el 2005 fue electo diputado por el Distrito Nº14 correspondiente a las comunas de Viña del Mar y Concón, cargo que comprende el período 2006-2010. Desde el 2006 es Vicepresidente Nacional de Renovación Nacional y desde marzo de 2010 Senador por la Quinta Región Costa.",,False,http://www.chahuan.cl/,@chahuan,https://www.facebook.com/franciscochahuan,,True,<NULL>,<NULL>,<NULL>,<NULL>
7,Camilo Enrique,Escalona,Medina,Camilo Escalona,2012-06-15,44,||,<NULL>,"Senador por la Región de Los Lagos Sur, fue presidente del Partido Socialista desde mayo de 2006 hasta enero del 2010. Desde el 20 marzo de 2012 es presidente del Senado. Su figura generó gran polémica durante la elección presidencial de 2009, en donde se le culpó de ser uno de los responsables de la derrota del candidato concertacionista Eduardo Frei Ruiz-Tagle. Luego de la primera vuelta presidencial de diciembre de 2009 se le pidió la renuncia a la presidencia del Partido Socialista, la cual declinó. Finalmente dimitió  el 23 de enero de 2010.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
8,Alberto Miguel,Espina,Otero,Alberto Espina,1956-11-04,44,||,<NULL>,,,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
9,Eduardo Alfredo Juan Bernardo,Frei,Ruiz-Tagle,Eduardo Frei Ruiz-Tagle,1942-06-24,44,||,<NULL>,"Ingeniero civil y político miembro de la Democracia Cristiana. Senador en tres periodos, entre 1990 y 2014. Presidente del Senado entre el 11 de marzo de 2006 al 11 de marzo de 2008. Presidente de la República entre el 11 de marzo de 1994 al 11 de marzo de 2000.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
10,José Gilberto ,García,Ruminot,José García Ruminot,1955-05-22,44,||,<NULL>,"Senador de Renovación Nacional (RN) por la 15ª Circunscripción Sur, Región de La Araucanía, desde 2002 a la fecha por dos periodos consecutivos.",,False,,,,,True,<NULL>,<NULL>,<NULL>,<NULL>
