"id","name","documentURL","persona","tipoDoc","relPersOrg","organizacion","fecha"
1,"Reseña Biográfica de la Biblioteca del Congreso Nacional de Chile","http://historiapolitica.bcn.cl/resenas_parlamentarias/wiki/Gutenberg_Mart%C3%ADnez_Ocamica",,"",195,,""
2,"Reseña Biográfica Parlamentaria Biblioteca del Congreso Nacional","http://historiapolitica.bcn.cl/resenas_parlamentarias/wiki/Gutenberg_Mart%C3%ADnez_Ocamica",,"",196,,""
3,"Biografía Isabel Allende. Sitio personal","http://www.isabelallendebussi.cl/pagina.php?idnota=biografia",,"",174,,""
4,"Curriculum página web del Senado","http://www.senado.cl/prontus_senado/site/artic/20080118/pags/20080118175221.html",,"",26,,""
5,"Sitio web de Renovación Nacional","http://www.rn.cl/v1/directiva/item/115-francisco-chahu%C3%A1n",,"",248,,""
6,"Sitio web de Renovación Nacional","http://www.rn.cl/v1/directiva/item/115-francisco-chahu%C3%A1n",,"",247,,""
7,"Reseña Biográfica de la Biblioteca del Congreso Nacional de Chile","http://historiapolitica.bcn.cl/resenas_parlamentarias/wiki/Francisco_Chahu%C3%A1n_Chahu%C3%A1n",,"",249,,""
8,"Sitio web del Senado","http://www.senado.cl/prontus_senado/site/artic/20120522/pags/20120522155509.html",,"",255,,""
9,"Biblioteca del Ministerio de Salud","http://www.bibliotecaminsal.cl/.../Biografia-Dr-Alvaro-Erazo-Latorre.pdf",,"",287,,""
10,"Biblioteca del Ministerio de Salud","http://www.bibliotecaminsal.cl/.../Biografia-Dr-Alvaro-Erazo-Latorre.pdf",,"",288,,""
11,"Biblioteca del Ministerio de Salud","http://www.bibliotecaminsal.cl/.../Biografia-Dr-Alvaro-Erazo-Latorre.pdf",,"",286,,""
12,"Artículo Revista YA de ""El Mercurio No descarto una carrera política""","http://diario.elmercurio.com/detalle/index.asp?id=de6a4915-84a6-4e63-bb79-2e180dd8d73a",,"",314,,"11-08-2009"
13,"Sitio web de la Subsecretaría de Transportes","http://www.subtrans.gob.cl/subtrans/site/artic/20080115/pags/20080115151404.html",,"",347,,""
14,"Las Últimas Noticias","http://www.lun.com/lunmobile/Pages/NewsDetailMobile.aspx?dt=2009-03-07&BodyId=0&PaginaID=12&NewsID=33415&Name=I99&PagNum=12&Return=R&SupplementId=0",,"",354,,"07-03-2009"
15,"Diario El Mostrador","http://www.elmostrador.cl/noticias/pais/2008/05/28/simon-escalona-renuncia-al-partido-socialista/",,"",382,,"28-05-2008"
16,"Documento de Instituto Libertad y Desarrollo","http://www.elmostrador.cl/c_pais/imagenes/InformeRN_Aleuy.pdf",,"",399,,""
17,"Documento de Instituto Libertad y Desarrollo","http://www.elmostrador.cl/c_pais/imagenes/InformeRN_Aleuy.pdf",,"",398,,""
18,"Documento de Instituto Libertad y Desarrollo","http://www.elmostrador.cl/c_pais/imagenes/InformeRN_Aleuy.pdf",,"",396,,""
19,"Documento de Instituto Libertad y Desarrollo","http://www.elmostrador.cl/c_pais/imagenes/InformeRN_Aleuy.pdf",,"",401,,""
20,"Sitio web Rimisp - Centro Latinoamericano para el Desarrollo Rural","http://www.rimisp.org/inicio/personal_rimisp.php?id_=65&id_personal=65",,"",408,,""
21,"Diario El Mostrador. El “estilo K” de la ministra Serrano","http://www.elmostrador.cl/noticias/pais/2009/02/02/el-estilo-k-de-la-ministra-serrano/",,"",403,,"02-02-2009"
